pm_id,kalshi_id,orientation,basis_risk,category,pm_title,k_title,volume,close_ts,n_days,mean_abs,max_abs,pct_gt2,pct_gt5,pct_gt10,n_events_resolved,half_lives
2692820,KXWCGOAL-26JUN27DZAAUT-AUTMSABIT20-1,same,0,Sports,Marcel Sabitzer: 1+ goals,Marcel Sabitzer: 1+ goals,1589.6838849999997,2026-06-28T04:29:59Z,2,46.5,88.0,100.0,50.0,50.0,0,[]
2692834,KXWCGOAL-26JUN27DZAAUT-DZARMAHRE7-1,same,0,Sports,Riyad Mahrez: 1+ goals,Riyad Mahrez: 1+ goals,2434.1024319999997,2026-06-28T04:29:59Z,2,46.25,87.5,100.0,50.0,50.0,0,[]
2520493,KXWCGOAL-26JUN18CZERSA-CZEPSCHIC14-3,same,0,Sports,Patrik Schick: 3+ goals,Patrik Schick: 3+ goals,15643.501171,2026-06-18T18:04:52Z,2,44.625,47.0,100.0,100.0,100.0,0,[]
2556495,KXWCGOAL-26JUN18SUIBIH-SUIBEMBOL7-3,same,0,Sports,Breel Embolo: 3+ goals,Breel Embolo: 3+ goals,2222.003443,2026-06-18T20:47:24Z,2,44.175,45.0,100.0,100.0,100.0,0,[]
2692835,KXWCGOAL-26JUN27DZAAUT-DZARMAHRE7-2,same,0,Sports,Riyad Mahrez: 2+ goals,Riyad Mahrez: 2+ goals,2188.5851159999997,2026-06-28T04:29:59Z,2,43.0,75.0,100.0,100.0,100.0,0,[]
2608055,KXWCGROUPWIN-26L-ENG,same,0,Sports,Will England win?,Will England finish first in World Cup Group L?,37677.956726,2026-06-28T03:07:40Z,8,42.875,66.5,100.0,100.0,100.0,1,[1.0]
2584072,KXWCGOAL-26JUN20NEDSWE-NEDCGAKPO18-2,same,0,Sports,Cody Gakpo: 2+ goals,Cody Gakpo: 2+ goals,2020.148208,2026-06-20T18:36:19Z,2,39.0,43.0,100.0,100.0,100.0,0,[]
2571807,KXWCGOAL-26JUN19SCOMAR-MARBDIAZ21-2,same,0,Sports,Brahim Díaz: 2+ goals,Brahim Diaz: 2+ goals,7423.137232,2026-06-19T23:47:06Z,2,38.15,40.0,100.0,100.0,100.0,0,[]
2594713,KXWCGOAL-26JUN20NEDSWE-NEDTREIJN4-2,same,0,Sports,Tijjani Reijnders: 2+ goals,Tijani Reijnders: 2+ goals,1077.8822940000005,2026-06-20T18:20:14Z,2,34.25,41.0,100.0,100.0,100.0,0,[]
2525426,KXWCGOAL-26JUN18CANQAT-CANJDAVID30-3,same,0,Sports,Jonathan David: 3+ goals,Jonathan David: 3+ goals,5767.438238000001,2026-06-19T00:24:53Z,2,33.949999999999996,38.9,100.0,100.0,100.0,0,[]
2692659,KXWCGOAL-26JUN28RSACAN-CANJDAVID30-3,same,0,Sports,Jonathan David: 3+ goals,Jonathan David: 3+ goals,14579.130477,2026-06-28T21:19:56Z,2,33.75,37.0,100.0,100.0,100.0,0,[]
2573731,KXWCGOAL-26JUN19TURPAR-TURKYILDI10-2,same,0,Sports,Kenan Yıldız: 2+ goals,Kenan Yildiz: 2+ goals,1071.8333320000002,2026-06-20T06:05:10Z,3,32.833333333333336,46.5,100.0,100.0,66.66666666666666,1,[1.0]
